,Rank,Country/Territory,GDP(US$million)
102,97,Libya,"34,377"
103,98,Estonia,"30,747"
104,99,Uganda,"30,098"
105,100,Nepal,"27,830"
106,101,Zambia,"27,283"
107,102,Yemen,"26,672"
108,103,El Salvador,"26,057"
109,104,Iceland,"25,882"
110,105,Cyprus,"24,963"
111,106,Cambodia,"24,572"
112,107,Zimbabwe,"24,312"
113,108,Honduras,"23,970"
114,109,Senegal,"23,809"
115,110,Trinidad and Tobago,"23,808"
116,111,Papua New Guinea,"23,077"
117,112,Afghanistan,"20,514"
118,113,Bosnia and Herzegovina,"19,782"
119,114,Botswana,"18,615"
120,115,Laos,"17,954"
121,116,Georgia,"17,600"
122,117,"Korea, North","17,487"
123,118,Mali,"17,172"
124,119,Gabon,"16,994"
125,120,Syria,"16,628"
126,—,"Palestine, State of","16,277"
127,121,Burkina Faso,"16,200"
128,122,Jamaica,"15,714"
129,123,Albania,"15,059"
130,124,Mozambique,"14,717"
131,125,Malta,"14,549"
132,126,Namibia,"14,519"
133,127,Mauritius,"14,220"
134,128,"Congo, Republic of the","14,173"
135,129,Madagascar,"13,851"
136,130,Brunei,"13,567"
137,131,Equatorial Guinea,"13,324"
138,132,Nicaragua,"13,118"
139,133,Mongolia,"13,010"
140,134,Niger,"12,821"
141,135,North Macedonia,"12,629"
142,136,Armenia,"12,433"
143,137,"Bahamas, The","12,425"
144,138,Guinea,"11,640"
145,139,Chad,"11,387"
146,140,Moldova,"11,309"
147,141,Benin,"10,412"
148,—,New Caledonia,"10,174"
149,142,Rwanda,"9,510"
150,143,Haiti,"9,287"
151,144,South Sudan,"8,207"
152,145,Kyrgyzstan,"8,093"
153,—,Kosovo,"7,943"
154,146,Mauritania,"7,620"
155,147,Tajikistan,"7,523"
156,148,Malawi,"7,196"
157,149,Monaco,"7,189"
158,150,Eritrea,"6,855"
159,151,Liechtenstein,"6,796"
160,—,Bermuda,"6,351"
161,—,French Polynesia,"6,100"
162,152,Fiji,"5,537"
163,153,Montenegro,"5,507"
164,—,Cayman Islands,"5,485"
165,154,Maldives,"5,327"
166,155,Togo,"5,166"
167,156,Barbados,"5,087"
168,157,Eswatini,"4,711"
169,158,Sierra Leone,"4,101"
170,159,Guyana,"3,818"
171,160,Suriname,"3,458"
172,161,Burundi,"3,285"
173,162,Andorra,"3,238"
174,—,Aruba,"3,203"
175,—,Curaçao,"3,128"
176,—,Greenland,"3,052"
177,163,Djibouti,"2,923"
178,164,Bhutan,"2,658"
179,165,Lesotho,"2,631"
180,166,Timor-Leste,"2,581"
181,167,Central African Republic,"2,243"
182,168,Liberia,"2,121"
183,169,Cape Verde,"1,977"
184,170,Saint Lucia,"1,922"
185,171,Belize,"1,871"
186,172,San Marino,"1,638"
187,173,"Gambia, The","1,633"
188,—,Zanzibar,"1,618"
189,174,Antigua and Barbuda,"1,611"
190,175,Seychelles,"1,590"
191,176,Somalia,"1,495"
192,177,Guinea-Bissau,"1,459"
193,—,British Virgin Islands,"1,445"
194,178,Solomon Islands,"1,271"
195,179,Grenada,"1,169"
196,180,Comoros,"1,166"
197,—,Turks and Caicos Islands,"1,022"
198,181,Saint Kitts and Nevis,"1,011"
199,—,Sint Maarten,980
200,182,Vanuatu,889
201,183,Samoa,834
202,184,Saint Vincent and the Grenadines,811
203,185,Dominica,551
204,186,Tonga,504
205,187,São Tomé and Príncipe,411
206,188,"Micronesia, Federated States of",371
207,—,Cook Islands,363
208,—,Anguilla,293
209,189,Palau,284
210,190,Marshall Islands,214
211,191,Kiribati,189
212,192,Nauru,127
213,—,Montserrat,64
214,193,Tuvalu,46
